Date,Open,High,Low,Close,Adj Close,Volume
2020-03-17,613.000000,626.549988,590.099976,595.400024,582.182251,1616406
2020-03-18,600.000000,607.700012,570.150024,576.099976,563.310608,1338187
2020-03-19,536.000000,566.400024,527.000000,548.200012,536.030090,1240527
2020-03-20,555.000000,585.700012,555.000000,564.799988,552.261475,1768226
2020-03-23,527.000000,539.450012,475.549988,488.700012,477.850922,780947
2020-03-24,498.250000,526.400024,472.350006,478.350006,467.730682,1601386
2020-03-25,485.000000,504.200012,448.750000,486.600006,475.797546,2021433
2020-03-26,489.600006,522.400024,474.299988,504.500000,493.300171,2100154
2020-03-27,523.000000,523.000000,474.299988,490.549988,479.659851,1873789
2020-03-30,471.000000,486.200012,449.700012,465.100006,454.774841,1456136
2020-03-31,471.299988,492.500000,463.500000,476.899994,466.312866,1173010
2020-04-01,472.549988,485.549988,464.049988,471.250000,460.788300,1766499
2020-04-03,474.100006,478.850006,460.500000,472.549988,462.059448,845747
2020-04-07,484.299988,501.850006,477.799988,484.549988,473.793030,1934898
2020-04-08,481.000000,522.900024,476.000000,482.700012,471.984131,2355743
2020-04-09,487.000000,515.750000,481.350006,508.899994,497.602478,2806291
2020-04-13,511.000000,511.399994,482.500000,505.100006,493.886871,1902868
2020-04-15,508.000000,538.700012,508.000000,515.900024,504.447083,4126544
2020-04-16,518.950012,532.950012,509.149994,521.299988,509.727173,3313113
2020-04-17,531.000000,545.599976,514.450012,523.599976,511.976166,3034376
2020-04-20,522.599976,530.799988,517.599976,521.400024,509.825043,1976078
2020-04-21,515.000000,515.000000,491.399994,499.149994,488.068909,2136415
2020-04-22,500.000000,507.549988,484.450012,503.350006,492.175720,2662294
2020-04-23,507.000000,513.000000,498.000000,508.200012,496.918060,2472824
2020-04-24,500.000000,505.000000,485.000000,487.149994,476.335327,1697939
2020-04-27,490.200012,499.649994,485.000000,490.799988,479.904297,1763196
2020-04-28,494.350006,501.700012,492.200012,496.799988,485.771118,1946282
2020-04-29,497.000000,498.700012,489.000000,491.399994,480.490967,2104519
2020-04-30,495.200012,517.500000,495.200012,505.399994,494.180176,2950356
2020-05-04,496.000000,496.500000,461.000000,465.950012,455.605957,2361916
2020-05-05,475.000000,481.899994,432.250000,438.399994,428.667572,4163943
2020-05-06,442.799988,463.899994,427.450012,457.950012,447.783569,7211439
2020-05-07,460.000000,469.000000,439.149994,442.200012,432.383240,7363997
2020-05-08,455.000000,459.950012,445.200012,456.399994,446.267975,3964094
2020-05-11,458.100006,472.700012,457.600006,468.950012,458.539368,2289089
2020-05-12,467.450012,474.200012,457.250000,460.200012,449.983612,3635078
2020-05-13,475.000000,481.799988,452.899994,464.149994,453.845917,5154440
2020-05-14,458.899994,472.500000,453.450012,457.000000,446.854645,2959019
2020-05-15,460.000000,466.000000,448.500000,462.049988,451.792542,2668582
2020-05-18,463.500000,463.950012,438.250000,441.549988,431.747620,2151356
2020-05-19,448.000000,453.500000,432.049988,436.299988,426.614166,2322033
2020-05-20,437.500000,460.000000,434.200012,454.399994,444.312378,2101099
2020-05-21,456.000000,466.700012,454.000000,461.350006,451.108093,1951284
2020-05-22,461.750000,466.950012,445.000000,450.299988,440.303375,2146202
2020-05-26,456.200012,457.350006,446.500000,449.799988,439.814484,2168193
2020-05-27,452.899994,466.000000,448.100006,464.549988,454.237030,3177253
2020-05-28,471.399994,489.850006,466.000000,486.799988,475.993073,4568687
2020-05-29,485.899994,493.600006,476.950012,480.149994,469.490723,4002702
2020-06-01,506.000000,544.750000,506.000000,539.799988,527.816467,13522210
2020-06-02,546.000000,561.400024,537.000000,557.700012,545.319153,6145086
2020-06-03,560.000000,580.000000,559.700012,567.799988,555.194885,5072386
2020-06-04,569.049988,576.000000,553.900024,565.950012,553.385986,3964554
2020-06-05,570.000000,582.900024,564.500000,579.750000,566.879578,2673077
2020-06-08,582.049988,587.500000,553.849976,560.599976,548.154724,3575837
2020-06-09,563.000000,572.000000,544.250000,547.849976,535.687744,3370552
2020-06-10,550.000000,559.000000,545.200012,553.450012,541.163513,2440258
2020-06-11,555.200012,563.700012,546.349976,555.700012,543.363525,2045520
2020-06-12,540.000000,558.000000,536.900024,553.650024,541.359070,2597897
2020-06-15,555.500000,565.500000,544.099976,547.150024,535.003418,2479232
2020-06-16,557.000000,560.750000,540.099976,549.599976,537.398987,1328332
2020-06-17,548.000000,556.650024,543.650024,545.700012,533.585510,1447933
2020-06-18,544.000000,548.349976,539.200012,543.950012,531.874329,1356389
2020-06-19,546.000000,550.599976,539.349976,548.700012,536.518921,1743955
2020-06-22,552.000000,557.700012,548.450012,552.150024,539.892334,1920660
2020-06-23,554.950012,565.650024,544.900024,547.450012,535.296692,3161412
2020-06-24,551.900024,553.500000,533.250000,537.950012,526.007568,2362752
2020-06-25,537.000000,554.950012,533.950012,552.099976,539.843445,2386501
2020-06-26,554.000000,557.250000,542.049988,545.400024,533.292175,1517204
2020-06-29,547.000000,547.000000,534.650024,536.700012,524.785339,890246
2020-06-30,539.099976,548.900024,539.000000,546.450012,534.318848,1906339
2020-07-01,547.900024,549.849976,539.299988,542.450012,530.407715,1093651
2020-07-02,545.000000,564.799988,544.049988,562.150024,549.670349,3237437
2020-07-03,567.500000,570.000000,552.250000,559.049988,546.639099,2949682
2020-07-06,563.000000,570.000000,557.049988,566.500000,553.923828,2351278
2020-07-07,566.500000,576.900024,553.849976,574.900024,562.137268,3243435
2020-07-08,576.000000,578.500000,560.000000,562.599976,550.110291,1671080
2020-07-09,563.000000,565.000000,556.200012,560.750000,548.301453,969170
2020-07-10,555.000000,567.349976,555.000000,562.599976,550.110291,1528875
2020-07-13,567.799988,567.799988,548.500000,553.599976,541.310059,1776880
2020-07-14,550.500000,552.000000,541.599976,547.849976,535.687744,1037680
2020-07-15,549.000000,556.000000,541.000000,544.299988,532.216614,1492400
2020-07-16,545.000000,552.150024,529.599976,550.099976,537.887878,1535926
2020-07-17,555.000000,581.000000,554.000000,576.599976,563.799561,4421603
2020-07-20,581.849976,602.000000,580.099976,597.450012,584.186768,6125949
2020-07-21,600.599976,609.500000,594.599976,596.950012,583.697754,2867911
2020-07-22,600.000000,605.450012,590.049988,595.599976,582.377747,2165035
2020-07-23,596.599976,611.450012,593.700012,595.599976,582.377747,3225989
2020-07-24,594.500000,599.900024,590.000000,593.599976,580.422180,1107084
2020-07-27,597.950012,598.000000,576.400024,589.750000,576.657654,1516271
2020-07-28,586.650024,589.000000,573.799988,580.849976,567.955139,1990102
2020-07-29,583.700012,598.500000,583.700012,589.450012,576.364258,2261187
2020-07-30,591.250000,598.849976,587.349976,595.250000,582.035522,1600973
2020-07-31,595.250000,603.500000,590.650024,598.400024,585.115601,1600492
2020-08-03,596.000000,600.750000,591.500000,595.700012,582.475586,829512
2020-08-04,596.000000,615.000000,596.000000,610.799988,597.240356,4324465
2020-08-05,610.750000,617.250000,598.700012,605.150024,595.616333,2377095
2020-08-06,608.049988,611.900024,601.000000,603.000000,593.500183,699794
2020-08-07,600.000000,603.000000,592.000000,593.900024,584.543579,962440
2020-08-10,594.599976,597.750000,585.599976,586.849976,577.604553,1450621
2020-08-11,588.599976,617.750000,588.049988,608.000000,598.421387,4885036
2020-08-12,607.900024,616.000000,602.349976,604.700012,595.173401,1732635
2020-08-13,608.000000,621.000000,606.349976,618.549988,608.805176,3252487
2020-08-14,624.900024,631.950012,603.549988,615.450012,605.754028,6952207
2020-08-17,624.799988,637.799988,619.400024,629.099976,619.188965,3060814
2020-08-18,630.099976,647.000000,628.000000,644.750000,634.592407,3147580
2020-08-19,644.750000,653.900024,638.299988,649.549988,639.316772,1599340
2020-08-20,642.799988,675.000000,642.000000,669.450012,658.903320,3416323
2020-08-21,673.000000,682.000000,656.349976,659.299988,648.913208,3590282
2020-08-24,663.000000,673.250000,658.500000,661.650024,651.226196,1588775
2020-08-25,666.950012,673.500000,652.500000,654.950012,644.631714,1866852
2020-08-26,659.000000,662.000000,645.799988,648.799988,638.578674,1709544
2020-08-27,653.900024,668.900024,650.400024,662.900024,652.456543,2761029
2020-08-28,670.799988,670.799988,659.000000,661.849976,651.423035,1319829
2020-08-31,665.299988,669.000000,630.200012,634.750000,624.750000,1523639
2020-09-01,642.349976,649.450012,629.750000,635.000000,624.996033,1508638
2020-09-02,630.000000,645.150024,625.599976,642.500000,632.377930,2215210
2020-09-03,644.950012,662.000000,644.250000,656.950012,646.600220,1765544
2020-09-04,655.000000,662.799988,640.250000,645.750000,635.576721,1796732
2020-09-07,653.000000,654.549988,637.400024,646.099976,635.921143,1184624
2020-09-08,639.849976,650.500000,634.750000,637.750000,627.702698,931344
